127.0.0.1 - - [12/Dec/2021:13:40:22 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [12/Dec/2021:13:40:24 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [12/Dec/2021:13:40:24 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:03:41 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:03:41 +0900] "GET /BBS/js/boostrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:03:41 +0900] "GET /BBS/css/boostrap.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:03:41 +0900] "GET /BBS/js/boostrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:03:41 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:11:47 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:11:47 +0900] "GET /BBS/css/boostrap.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:11:47 +0900] "GET /BBS/js/boostrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:11:47 +0900] "GET /BBS/js/boostrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:11:53 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:14:17 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:14:17 +0900] "GET /BBS/css/boostrap.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:14:17 +0900] "GET /BBS/js/boostrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:14:17 +0900] "GET /BBS/js/boostrap.js HTTP/1.1" 404 834
